,1,2,3,max,min,err,check
A1,0.002,0.002,0.002,0.002,0.002,0.0,True
B1,0.002,0.002,0.002,0.002,0.002,0.0,True
C1,0.002,0.002,0.002,0.002,0.002,0.0,True
D1,0.002,0.002,0.002,0.002,0.002,0.0,True
E1,0.002,0.002,0.002,0.002,0.002,0.0,True
F1,0.002,0.002,0.002,0.002,0.002,0.0,True
G1,0.002,0.002,0.002,0.002,0.002,0.0,True
H1,0.002,0.002,0.002,0.002,0.002,0.0,True
A2,0.001,0.001,0.001,0.001,0.001,0.0,True
B2,0.001,0.001,0.001,0.001,0.001,0.0,True
C2,0.001,0.001,0.001,0.001,0.001,0.0,True
D2,0.001,0.001,0.001,0.001,0.001,0.0,True
E2,0.001,0.001,0.001,0.001,0.001,0.0,True
F2,0.001,0.001,0.001,0.001,0.001,0.0,True
G2,0.001,0.001,0.001,0.001,0.001,0.0,True
H2,0.001,0.001,0.001,0.001,0.001,0.0,True
A3,0.001,0.001,0.001,0.001,0.001,0.0,True
B3,0.001,0.001,0.001,0.001,0.001,0.0,True
C3,0.001,0.001,0.0,0.001,0.0,0.001,True
D3,0.001,0.0,0.0,0.001,0.0,0.001,True
E3,0.001,0.001,0.001,0.001,0.001,0.0,True
F3,0.001,0.001,0.001,0.001,0.001,0.0,True
G3,0.001,0.001,0.001,0.001,0.001,0.0,True
H3,0.001,0.001,0.001,0.001,0.001,0.0,True
A4,0.001,0.001,0.0,0.001,0.0,0.001,True
B4,0.001,0.001,0.001,0.001,0.001,0.0,True
C4,0.001,0.0,0.0,0.001,0.0,0.001,True
D4,0.001,0.0,0.0,0.001,0.0,0.001,True
E4,0.001,0.0,0.0,0.001,0.0,0.001,True
F4,0.001,0.0,0.0,0.001,0.0,0.001,True
G4,0.001,0.0,0.0,0.001,0.0,0.001,True
H4,0.001,0.001,0.001,0.001,0.001,0.0,True
A5,0.001,0.001,0.001,0.001,0.001,0.0,True
B5,0.0,0.0,0.0,0.0,0.0,0.0,True
C5,0.0,0.0,0.0,0.0,0.0,0.0,True
D5,0.0,0.0,0.0,0.0,0.0,0.0,True
E5,0.0,0.0,0.0,0.0,0.0,0.0,True
F5,0.0,0.0,0.0,0.0,0.0,0.0,True
G5,0.0,0.0,0.0,0.0,0.0,0.0,True
H5,0.0,0.0,0.0,0.0,0.0,0.0,True
A6,0.0,0.0,0.0,0.0,0.0,0.0,True
B6,0.0,0.0,0.0,0.0,0.0,0.0,True
C6,0.0,0.0,0.0,0.0,0.0,0.0,True
D6,0.0,0.0,0.0,0.0,0.0,0.0,True
E6,0.0,0.0,0.0,0.0,0.0,0.0,True
F6,0.0,0.0,0.0,0.0,0.0,0.0,True
G6,0.0,0.0,0.0,0.0,0.0,0.0,True
H6,0.0,0.0,0.0,0.0,0.0,0.0,True
A7,0.0,0.0,0.0,0.0,0.0,0.0,True
B7,0.0,0.0,0.0,0.0,0.0,0.0,True
C7,0.0,0.0,0.0,0.0,0.0,0.0,True
D7,0.0,0.0,0.0,0.0,0.0,0.0,True
E7,0.0,0.0,0.0,0.0,0.0,0.0,True
F7,0.0,0.0,0.0,0.0,0.0,0.0,True
G7,0.0,0.0,0.0,0.0,0.0,0.0,True
H7,0.0,0.0,0.0,0.0,0.0,0.0,True
A8,0.0,0.0,0.0,0.0,0.0,0.0,True
B8,0.0,0.0,0.0,0.0,0.0,0.0,True
C8,0.0,0.0,0.0,0.0,0.0,0.0,True
D8,0.0,0.0,0.0,0.0,0.0,0.0,True
E8,0.0,0.0,0.0,0.0,0.0,0.0,True
F8,0.0,0.0,0.0,0.0,0.0,0.0,True
G8,0.0,0.0,0.0,0.0,0.0,0.0,True
H8,0.0,0.0,0.0,0.0,0.0,0.0,True
A9,0.0,0.0,0.0,0.0,0.0,0.0,True
B9,0.0,0.0,0.0,0.0,0.0,0.0,True
C9,0.0,0.0,0.0,0.0,0.0,0.0,True
D9,0.0,0.0,0.0,0.0,0.0,0.0,True
E9,0.0,0.0,0.0,0.0,0.0,0.0,True
F9,0.0,0.0,0.0,0.0,0.0,0.0,True
G9,0.0,0.0,0.0,0.0,0.0,0.0,True
H9,0.0,0.0,0.0,0.0,0.0,0.0,True
A10,0.0,0.0,0.0,0.0,0.0,0.0,True
B10,0.0,0.0,0.0,0.0,0.0,0.0,True
C10,0.0,0.0,0.0,0.0,0.0,0.0,True
D10,0.0,0.0,0.0,0.0,0.0,0.0,True
E10,0.0,0.0,0.0,0.0,0.0,0.0,True
F10,0.0,0.0,0.0,0.0,0.0,0.0,True
G10,0.0,0.0,0.0,0.0,0.0,0.0,True
H10,0.0,0.0,0.0,0.0,0.0,0.0,True
A11,0.0,0.0,0.0,0.0,0.0,0.0,True
B11,0.0,0.0,0.0,0.0,0.0,0.0,True
C11,0.0,0.0,0.0,0.0,0.0,0.0,True
D11,0.0,0.0,0.0,0.0,0.0,0.0,True
E11,0.0,0.0,0.0,0.0,0.0,0.0,True
F11,0.0,0.0,0.0,0.0,0.0,0.0,True
G11,0.0,0.0,0.0,0.0,0.0,0.0,True
H11,0.0,0.0,0.0,0.0,0.0,0.0,True
A12,0.0,0.0,0.0,0.0,0.0,0.0,True
B12,0.0,0.0,0.0,0.0,0.0,0.0,True
C12,0.0,0.0,0.0,0.0,0.0,0.0,True
D12,0.0,0.0,0.0,0.0,0.0,0.0,True
E12,0.0,0.0,0.0,0.0,0.0,0.0,True
F12,0.0,0.0,0.0,0.0,0.0,0.0,True
G12,0.0,0.0,0.0,0.0,0.0,0.0,True
H12,0.0,0.0,0.0,0.0,0.0,0.0,True
